meta_country,policy_health,policy_ehealth,policy_his,policy_telehealth,funding_public,funding_private,funding_donor,funding_publicprivate,policy_multilingual,sites_multilingual,training_preservice,training_inservice,population_1000s,lifeexpectancy_years,GNI_percentgdp,healthspend_percentgdp,physician_per10000,ICTdevindex_rank,nurse_per10000,mobilephone_percent,hospitalbed_per10000,internetusers_percent,legal_ehealth,legal_safety,legal_privacyanyformat,legal_privacydigital,sharing_national,sharing_international,sharing_research,owndata_access,owndata_correction,owndata_deletion,owndata_sharingcontrol,legal_registration,legal_idmanagement,teleradiology,teledermatology,telepathology,telepsychiatry,remotemonitoring,elearning_students_medicine,elearning_students_dentistry,elearning_students_publichealth,elearning_students_nursing,elearning_students_pharmacy,elearning_students_biomedical,elearning_prof_medical,elearning_prof_dentistry,elearning_prof_publichealth,elearning_prof_nursing,elearning_prof_parmacy,elearning_prof_biomedical,ehr_national,ehr_legislation,ehr_primary,ehr_secondary,ehr_tertiary,ehr_laboratory,ehr_pathology,ehr_pharmacy,ehr_pacs,ehr_vaccinationalerts,ehr_billing,ehr_supplychain,ehr_hr,meta_region,sm_policy,sm_policyhealth,sm_org_healthpromotion,sm_org_appointment,sm_org_feedback,sm_org_announcements,sm_org_emergency,sm_ind_learn,sm_ind_decide,sm_ind_feedback,sm_ind_campaign,sm_ind_forum,policy_bigdata_health,policy_bigdata_private,junk_country,mhealth_tollfree,mhealth_callcentre,mhealth_appointments,mhealth_telehealth,mhealth_disaster,mhealth_adherence,mhealth_community,mhealth_infoaccess,mhealth_records,mhealth_mlearning,mhealth_dss,mhealth_monitoring,mhealth_survey,mhealth_surveillance,junk_footer
Lithuania,Yes 75  2014,Yes 58  2010,No 66  N A,Yes 22  2011,Yes 77  50 75 ,    40  Zero,Yes 63   25 ,Yes 42   25 ,N A 28  N A,Yes 48 ,Yes 74  25 50 ,Yes 77   25 ,3 017,74,24 500,6.2,4.12,44,   ,165.06,68,68,31,Yes 46 ,Yes 78 ,Yes 54 ,Yes 34 ,Yes 22 ,Yes 39 ,Yes 29 ,Yes 32 ,Yes 18 ,Yes 28 ,Yes 76 ,Yes 65 ,National Established,National Established,International Pilot,National Informal,National Pilot,Yes 58 ,Yes 39 ,Yes 50 ,Yes 47 ,Yes 38 ,Yes 42 ,Yes 58 ,Yes 30 ,Yes 47 ,Yes 46 ,Yes 31 ,Yes 34 ,Yes 2011,Yes,Yes  25 ,Yes  25 ,Yes 50 75 ,Yes 35 ,Yes 18 ,Yes 33 ,Yes 26 ,No 10 ,Yes 58 ,Yes 58 ,Yes 69  WHO European,Region,No 18  N A,5,Yes 78 ,Yes 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,Yes 56 ,Yes 62 ,Yes 62 ,Yes 59 ,Yes 17  1991,Yes 8  1991,Lithuania,National Established,National Established,National Established,Local Pilot,National Established,Local Pilot,Local Pilot,International Established,National Established,International Established,National Established,Local Established,National Pilot,National Pilot LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Luxembourg,    75  N A,Yes 58  2006,Yes 66  2012,No 22  N A,Yes 77   75 ,No 40  Zero,No 63  Zero,No 42  Zero,    28  N A,Yes 48 ,Yes 74   25 ,Yes 77   25 ,530,82,59 750,7.1,2.9,9,12.61,145.36,56,92,Yes 31 ,No 46 ,Yes 78 ,Yes 54 ,Yes 34 ,No 22 ,Yes 39 ,Yes 29 ,Yes 32 ,Yes 18 ,Yes 28 ,Yes 76 ,Yes 65 ,National Established,       ,       ,       ,Intermediate  Local Established,No 58 ,No 39 ,No 50 ,Yes 47 ,No 38 ,No 42 ,N A 58 ,N A 30 ,N A 47 ,N A 46 ,N A 31 ,N A 34 ,Yes 2015,Yes,Yes  75 ,Yes  75 ,Yes 50 75 ,Yes 35 ,No 18 ,Yes 33 ,Yes 26 ,No 10 ,No 58 ,No 58 ,No 69  WHO European,Region,Yes 18  2013,No 5 ,Yes 78 ,Yes 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,No 56 ,Yes 62 ,Yes 62 ,Yes 59 ,No 17  N A,    8  N A,Luxembourg,National Established,       ,National Informal,National Pilot,International Established,National Pilot,National Pilot,       ,National Established,       ,Local Pilot,       ,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Latvia,Yes 75  2014,Yes 58  2005,No 66  N A,No 22  N A,Yes 77   25 ,No 40  Zero,Yes 63   75 ,No 42  Zero,No 28  N A,Yes 48 ,Yes 74   25 ,Yes 77   25 ,2 050,74,22 970,5.7,3.58,35,3.44,   ,64,74,Yes 31 ,Yes 46 ,Yes 78 ,Yes 54 ,Yes 34 ,No 22 ,Yes 39 ,Yes 29 ,Yes 32 ,No 18 ,Yes 28 ,Yes 76 ,Yes 65 ,Intermediate Established,       ,Local Established,       ,       ,Yes 58 ,Yes 39 ,Yes 50 ,Yes 47 ,Yes 38 ,Yes 42 ,Yes 58 ,Yes 30 ,No 47 ,Yes 46 ,Yes 31 ,No 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,Yes 58 ,58,Yes 69  WHO European,Region,Yes 18  2012,No 5 ,Yes 78 ,Yes 24 ,56,Yes 72 ,Yes 59 ,Yes 79 ,Yes 56 ,Yes 62 ,Yes 62 ,Yes 59 ,No 17  N A,No 8  N A,Latvia,National Established,National Established,Local Established,Intermediate Established,National Established,Intermediate Pilot,National Established,International  National  Local Established,Intermediate Established,Local Established,National Established,Local Established,       ,National Established LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Morocco,Yes 75  2002,No 58  N A,Yes 66  2004,No 22  N A,Yes 77  50 75 ,Yes 40   25 ,Yes 63   25 ,Yes 42   25 ,Yes 28  1956,Yes 48 ,Yes 74  50 75 ,Yes 77   25 ,33 008,71,7 000,6,0.62,89,0.89,119.97,11,55,No 31 ,No 46 ,Yes 78 ,No 54 ,No 34 ,Yes 22 ,Yes 39 ,No 29 ,No 32 ,No 18 ,No 28 ,Yes 76 ,No 65 ,Local Pilot,       ,       ,       ,       ,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,No 58 ,No 30 ,Yes 47 ,Yes 46 ,No 31 ,No 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,Yes 58 ,No 58 ,Yes 69  WHO Eastern Mediterranean,Region,No 18  N A,5,Yes 78 ,No 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,No 56 ,Yes 62 ,Yes 62 ,59,No 17  N A,No 8  N A,Morocco,National Established,National Established,National Pilot,Intermediate Pilot,       ,Local Pilot,National Established,       ,       ,       ,       ,       ,National Established,National Pilot LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Republic of Moldova,Yes 75  1995,Yes 58  2004,Yes 66  2004,No 22  N A,Yes 77  25 50 ,Yes 40   25 ,Yes 63  25 50 ,No 42  Zero,Yes 28  1989,Yes 48 ,Yes 74  50 75 ,Yes 77  25 50 ,3 487,70,5 190,11.8,2.98,65,6.4,101.99,62,43.4,No 31 ,No 46 ,Yes 78 ,Yes 54 ,No 34 ,No 22 ,No 39 ,No 29 ,Yes 32 ,Yes 18 ,No 28 ,Yes 76 ,Yes 65 ,National Pilot,       ,National Established,       ,National Pilot,Yes 58 ,No 39 ,Yes 50 ,No 47 ,Yes 38 ,Yes 42 ,Yes 58 ,No 30 ,Yes 47 ,No 46 ,No 31 ,Yes 34 ,Yes 2014,No,Yes 50 75 ,Yes  25 ,Yes  25 ,Yes 35 ,No 18 ,No 33 ,No 26 ,No 10 ,No 58 ,Yes 58 ,Yes 69  WHO European,Region,Yes 18  2013,No 5 ,Yes 78 ,No 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,No 56 ,Yes 62 ,Yes 62 ,No 59 ,No 17  N A,No 8  N A Republic of,Moldova,National Established,National Established,National Pilot,Regional Informal,National Established,    Pilot,National Established,       ,National Established,       ,       ,National Pilot,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Madagascar,No 75  N A,No 58  N A,Yes 66  2007,No 22  N A,No 77  Zero,No 40  Zero,    63  Zero,Yes 42  Zero,    28  N A,48,No 74  N A,Yes 77   25 ,22 925,64,1 350,4.2,0.16,149,0.32,39.38,2,2.1,No 31 ,No 46 ,78,No 54 ,No 34 ,22,39,No 29 ,No 32 ,No 18 ,No 28 ,76,No 65 ,International Pilot,International Pilot,       ,       ,       ,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,Yes 58 ,No 30 ,Yes 47 ,Yes 46 ,No 31 ,Yes 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,58,58,    69  WHO African,Region,    18  N A,5,Yes 78 ,No 24 ,No 56 ,Yes 72 ,59,Yes 79 ,Yes 56 ,Yes 62 ,Yes 62 ,Yes 59 ,No 17  N A,No 8  N A,Madagascar,       ,       ,Intermediate Pilot,National Pilot,National Pilot,Regional Pilot,Intermediate Pilot,       ,International Pilot,International Pilot,National Pilot,       ,National Pilot,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Maldives,No 75  N A,Yes 58  2011,66,No 22  N A,Yes 77   75 ,No 40  Zero,Yes 63  25 50 ,No 42  Zero,No 28  N A,No 48 ,No 74  N A,Yes 77   25 ,345,78,9 890,10.8,1.42,73,5.04,165.63,43,38.9,No 31 ,No 46 ,No 78 ,No 54 ,No 34 ,No 22 ,No 39 ,No 29 ,Yes 32 ,No 18 ,No 28 ,Yes 76 ,Yes 65 ,       ,       ,       ,National Informal,       ,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,No 58 ,No 30 ,No 47 ,Yes 46 ,Yes 31 ,No 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,Yes 58 ,No 58 ,No 69  WHO South East Asia,Region,No 18  N A,5,Yes 78 ,No 24 ,No 56 ,Yes 72 ,Yes 59 ,Yes 79 ,Yes 56 ,No 62 ,Yes 62 ,Yes 59 ,No 17  N A,No 8  N A,Maldives,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Mexico,Yes 75  2006,No 58  N A,Yes 66  2004,No 22  N A,Yes 77  50 75 ,Yes 40   25 ,Yes 63   25 ,Yes 42   25 ,Yes 28  2003,No 48 ,Yes 74  25 50 ,Yes 77   25 ,122 332,75,16 110,6.2,2.1,83,2.53,83.35,16,38.4,No 31 ,Yes 46 ,Yes 78 ,Yes 54 ,Yes 34 ,Yes 22 ,Yes 39 ,Yes 29 ,Yes 32 ,Yes 18 ,Yes 28 ,Yes 76 ,Yes 65 ,National Established,National Established,Intermediate Pilot,National Established,Local Pilot,Yes 58 ,No 39 ,Yes 50 ,No 47 ,No 38 ,Yes 42 ,Yes 58 ,Yes 30 ,Yes 47 ,Yes 46 ,Yes 31 ,Yes 34 ,Yes 2004,Yes,Yes 25 50 ,Yes 25 50 ,Yes  75 ,Yes 35 ,No 18 ,Yes 33 ,Yes 26 ,No 10 ,Yes 58 ,Yes 58 ,Yes 69  WHO Region of the,Americas,Yes 18  2013,No 5 ,Yes 78 ,No 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,No 56 ,Yes 62 ,Yes 62 ,Yes 59 ,No 17  N A,Yes 8  2010,Mexico,Intermediate Established,National Established,National Established,Local Pilot,       ,       ,       ,       ,       ,       ,       ,Intermediate Pilot,       ,Intermediate Informal LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Mali,Yes 75  2009,Yes 58  2013,Yes 66  1998,Yes 22  2013,Yes 77  50 75 ,Yes 40  Zero,Yes 63   25 ,No 42  Zero,No 28  N A,Yes 48 ,Yes 74   25 ,Yes 77   25 ,15 302,57,1 540,7.1,0.08,144,0.43,98.38,1,2.2,No 31 ,No 46 ,No 78 ,No 54 ,No 34 ,No 22 ,No 39 ,No 29 ,No 32 ,No 18 ,No 28 ,76,Yes 65 ,National Pilot,       ,National Pilot,       ,       ,Yes 58 ,No 39 ,No 50 ,No 47 ,No 38 ,Yes 42 ,Yes 58 ,No 30 ,Yes 47 ,No 46 ,No 31 ,No 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,Yes 58 ,Yes 58 ,Yes 69  WHO African,Region,No 18  N A,5,Yes 78 ,No 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,No 56 ,No 62 ,Yes 62 ,No 59 ,No 17  N A,No 8  N A,Mali,National Informal,National Pilot,National Informal,Regional Pilot,National Pilot,National Pilot,National Informal,Regional  National    ,National Pilot,National Pilot,National Pilot,       ,National Established,National Pilot LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Malta,Yes 75  1979,No 58  N A,No 66  N A,No 22  N A,Yes 77   75 ,No 40  Zero,No 63  Zero,No 42  Zero,N A 28  N A,N A 48 ,Yes 74   75 ,Yes 77   75 ,429,81,28 030,8.7,3.49,24,7.49,126.96,45,70,No 31 ,46,Yes 78 ,Yes 54 ,Yes 34 ,Yes 22 ,Yes 39 ,No 29 ,Yes 32 ,No 18 ,No 28 ,Yes 76 ,Yes 65 ,National Established,       ,       ,       ,National Established,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,Yes 58 ,No 30 ,No 47 ,Yes 46 ,Yes 31 ,No 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,No 58 ,No 58 ,No 69  WHO European,Region,No 18  N A,5,Yes 78 ,No 24 ,Yes 56 ,Yes 72 ,59,Yes 79 ,56,Yes 62 ,Yes 62 ,59,No 17  N A,No 8  N A,Malta,National Established,       ,National Established,National Established,National Established,National Established,National Established,International Established,National Established,International Established,       ,National Established,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Montenegro,Yes 75  2006,No 58  N A,Yes 66  2015,No 22  N A,Yes 77   25 ,No 40  Zero,No 63  Zero,No 42  Zero,    28  N A,Yes 48 ,No 74  N A,Yes 77   25 ,621,76,14 600,6.5,2.11,   ,5.41,   ,39,   ,31,46,Yes 78 ,Yes 54 ,Yes 34 ,Yes 22 ,Yes 39 ,No 29 ,No 32 ,No 18 ,No 28 ,76,65,       ,       ,       ,       ,       ,N A 58 ,N A 39 ,N A 50 ,N A 47 ,N A 38 ,N A 42 ,N A 58 ,N A 30 ,N A 47 ,N A 46 ,N A 31 ,N A 34 ,Yes 2000,Yes,Yes  75 ,Yes  75 ,No N A,Yes 35 ,Yes 18 ,Yes 33 ,No 26 ,No 10 ,Yes 58 ,Yes 58 ,Yes 69  WHO European,Region,No 18  N A,5,Yes 78 ,No 24 ,56,72,No 59 ,Yes 79 ,Yes 56 ,62,62,Yes 59 ,No 17  N A,No 8  N A,Montenegro,National Established,Local Established,       ,       ,       ,       ,Local Informal,       ,       ,       ,       ,       ,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Mongolia,Yes 75  2008,Yes 58  2008,Yes 66  2011,Yes 22  2008,Yes 77   25 ,Yes 40   25 ,Yes 63   75 ,Yes 42   25 ,Yes 28  2011,No 48 ,Yes 74   25 ,Yes 77   25 ,2 839,68,8 810,6,2.84,85,3.62,   ,58,16.4,Yes 31 ,Yes 46 ,Yes 78 ,Yes 54 ,Yes 34 ,Yes 22 ,Yes 39 ,Yes 29 ,Yes 32 ,No 18 ,Yes 28 ,Yes 76 ,Yes 65 ,Intermediate Pilot,       ,Intermediate Pilot,       ,       ,Yes 58 ,Yes 39 ,Yes 50 ,Yes 47 ,Yes 38 ,Yes 42 ,Yes 58 ,No 30 ,Yes 47 ,Yes 46 ,No 31 ,Yes 34 ,Yes 2004,Yes,Yes  25 ,Yes 25 50 ,Yes 50 75 ,Yes 35 ,No 18 ,Yes 33 ,Yes 26 ,Yes 10 ,Yes 58 ,Yes 58 ,Yes 69  WHO Western Pacific,Region,Yes 18  2010,Yes 5 ,Yes 78 ,Yes 24 ,Yes 56 ,Yes 72 ,Yes 59 ,Yes 79 ,Yes 56 ,Yes 62 ,Yes 62 ,Yes 59 ,Yes 17  2005,Yes 8  2010,Mongolia,National  Intermediate  Local Established,National  Intermediate  Local Informal  Established,Local Informal,       ,National Established,       ,Intermediate  Local Informal,       ,       ,Local Informal,       ,       ,       ,        LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
Mauritania,No 75  N A,No 58  N A,Yes 66  2013,No 22  N A,Yes 77  50 75 ,No 40  Zero,Yes 63  25 50 ,No 42  Zero,No 28  N A,Yes 48 ,Yes 74   25 ,Yes 77   25 ,3 890,63,2 850,3.8,0.13,133,0.67,106,4,5.4,No 31 ,No 46 ,Yes 78 ,No 54 ,No 34 ,No 22 ,No 39 ,No 29 ,No 32 ,No 18 ,No 28 ,Yes 76 ,Yes 65 ,International Pilot,       ,International Pilot,       ,       ,Yes 58 ,No 39 ,Yes 50 ,No 47 ,No 38 ,No 42 ,No 58 ,No 30 ,No 47 ,No 46 ,No 31 ,No 34 ,No N A,   ,N A    ,N A    ,N A    ,N A 35 ,N A 18 ,N A 33 ,N A 26 ,N A 10 ,Yes 58 ,Yes 58 ,No 69  WHO African,Region,No 18  N A,5,No 78 ,No 24 ,No 56 ,No 72 ,No 59 ,No 79 ,No 56 ,No 62 ,No 62 ,No 59 ,No 17  N A,No 8  N A,Mauritania,National Pilot,       ,       ,International Pilot,National Informal,       ,National Informal,National Pilot,       ,       ,       ,National Informal,National Pilot,National Pilot LEGEND      Country context indicators   ICT Development Index Rank. 2015   https   www.itu.int net4 ITU D idi 2015  All other country indicators. Global Health Observatory. 2012 2014     http   www.who.int gho      Glossary     Indicates the percentage of participating Member States responding    Yes        Don   t know N A Not applicable     Indicates question was unanswered   Question not asked Zero No funding International level  Health entities in different geographic regions Regional level  Health entities in countries in the same geographic region National level  Referral hospitals  laboratories and health institutes  mainly  public  but also private  Intermediate level  District or provincial facilities  public and private hospitals  and health centres Local or peripheral level   Health posts  health centres providing basic level of care Informal   Use of ICT for health purposes in the absence of formal  processes and policies Pilot   Testing and evaluating a programme Established  An ongoing programme that has been conducted for a  minimum of 2 years and is planned to continue     2016 WHOhttp   www.who.int goe,
